Date,Unique trial code,Original trial,trip,trial,det,Left camera,Right camera,Camera,Card Left,Card Right,Time start,Time app,App#,Pass#,ID,dist,reaction,App Direction,Time bait,Comments,Discard?
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,2,1,Small,2,Y,,,Reaction. Touch float.,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,3,1,Small,2,N,,,Touch rope,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,1,Small,15,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,2,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,3,Small,3,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,4,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,5,Small,5,Y,,,Reaction,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,6,Small,2,N,,,Touch rope,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,7,Small,6,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,8,Small,6,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,9,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,10,Small,15,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,4,11,Small,20,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,5,1,Small,5,N,,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,5,2,Small,25,N,D,,,
26/3/20,,8,3,11,Boat01,?,?,?,44,43,,,6,1,Small,10,N,,,,
26/3/20,9m,9,3,12,Control,?,?,?,44,43,,,1,1,Flat Top,5,N,D,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,12:42,,1,1,Scratchy,12,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,1,Scratchy,3,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,1,1,Shark 4,15,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,1,Shark 4,15,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,2,Shark 4,25,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,3,Shark 4,3,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,4,Shark 4,4,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,3,1,Shark 4,10,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,1,1,Small,4,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,1,2,Small,2,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,1,Small,7,N,,,,
26/3/20,,9,3,12,Control,?,?,?,44,43,,,2,2,Small,15,N,,,,
26/3/20,10m,10,3,13,Boat01,?,?,?,44,43,1:33,,1,1,Itchy,4,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,1,2,Itchy,6,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,1,3,Itchy,20,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,1,4,Itchy,3,N,S,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,1,Itchy,7,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,2,Itchy,2,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,3,Itchy,3,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,4,Itchy,1,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,3,1,Itchy,3,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,4,1,Itchy,8,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,4,2,Itchy,6,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,5,1,Itchy,6,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,5,2,Itchy,7,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,6,1,Itchy,17,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,7,1,Itchy,3,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,8,1,Itchy,15,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,1,1,New ,4,N,,,"New shark, chased itchy",
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,1,New ,25,N,,,Following Itchy,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,2,New ,18,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,3,1,New ,15,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,3,2,New ,9,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,4,1,New ,5,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,4,2,New ,5,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,5,1,New ,8,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,5,2,New ,4,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,5,3,New ,1,Y,,,Reaction,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,1,1,Scratchy,3,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,1,2,Scratchy,9,N,,,,
26/3/20,,10,3,13,Boat01,?,?,?,44,43,,,2,1,Scratchy,15,N,,,,
26/3/20,11m,11,3,14,Control,?,?,?,45,37,3:07,,1,1,Itchy,10,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,1,2,Itchy,1,N,,,Touched float,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,1,3,Itchy,3,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,1,4,Itchy,3,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,1,5,Itchy,5,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,2,1,Itchy,6,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,1,Itchy,8,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,2,Itchy,3,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,3,Itchy,5,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,4,Itchy,10,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,5,Itchy,1,Y,,,Reaction,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,6,Itchy,3,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,7,Itchy,7,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,8,Itchy,1.5,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,9,Itchy,2.5,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,4,1,Itchy,15,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,4,2,Itchy,4,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,5,1,Itchy,5,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,5,2,Itchy,2,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,6,1,Itchy,1,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,6,2,Itchy,7,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,1,1,Unknown,1,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,1,2,Unknown,1,N,,,,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,2,1,Unknown,1,N,,,Swam into cable,
26/3/20,,11,3,14,Control,?,?,?,45,37,,,3,1,Unknown,6,N,D,,,
26/3/20,12m,12,3,15,Boat01,?,?,?,45,37,3:27,,1,1,Itchy,12,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,1,2,Itchy,1.5,N,,,No reaction,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,1,3,Itchy,2.5,Y,,,Unknown reaction,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,2,1,Itchy,2.5,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,2,2,Itchy,1,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,2,3,Itchy,10,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,3,1,Itchy,4,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,4,1,Itchy,4.5,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,5,1,Itchy,3,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,5,2,Itchy,2,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,5,3,Itchy,3.5,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,5,4,Itchy,1.5,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,6,1,Itchy,9,N,,,,
