Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
March,3,3,7,Control,Left_3_20200325_1.MP4,1477,12.4494,696.532,15.13,98.695,3506.95,12.373,88.701,38.873,-581.636,475.759,-3425.5,20200609,BH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Small,Y,,M,S,N
March,3,3,7,Control,Left_3_20200325_1.MP4,2298,12.6777,840.208,16.29,66.768,3602.904,7.713,82.382,38.023,-283.468,391.744,-3570.308,20200609,BH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Small,Y,,M,D,N
March,3,3,7,Control,Left_3_20200325_1.MP4,6990,13.9823,1014.363,7.149,34.947,2045.766,13.604,69.036,16.412,-479.649,38.315,-1988.373,20200609,BH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Small,Y,,M,S,N
March,3,3,7,Control,Left_3_20200325_1.MP4,9240,14.6079,0,2.473,54.22,3979.54,15.31,25.097,88.898,1040.888,-143.753,-3838.31,20200609,BH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,White Spot,Y,,H,D,N
March,3,6,8,Control,Left_6_20200326.MP4,26911,7.4828,1444.434,20.472,110.543,3482.108,11.106,81.439,9.864,-563.772,-363.415,-3416.895,BHEB,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,6,8,Control,Left_6_20200326_1.MP4,10198,14.812,15445.731,418.151,100.609,12207.865,12.734,76.396,1.461,2690.462,-49.302,-11907.6,BHEB,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,L,S,N
March,3,6,8,Control,Left_6_20200326_1.MP4,11858,15.2736,4871.014,8619.143,67.42,2873.126,8.114,77.109,2.416,402.194,-51.856,-2844.363,BHEB,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,White Spot,N,Reaction?,M,S,N
March,3,6,8,Control,Left_6_20200326_1.MP4,19579,17.4205,3028.446,21.558,98.523,3671.734,8.471,49.948,9.561,-44.224,539.084,-3631.675,BHEB,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,Left_7_20200326.MP4,28956,8.0514,8135.283,89.75,379.85,6294.1,12.928,57.83,21.202,1202.542,732.578,-6134.567,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,Left_7_20200326.MP4,33127,9.2111,1530.639,32.275,212.949,5139.364,13.544,85.914,39.988,649.359,1013.372,-4996.446,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,7,9,Control,Left_7_20200326.MP4,40684,11.3124,3024.057,8270.682,8.624,1974.94,13.561,76.384,3.213,-462.827,15.477,-1919.88,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,7,9,Control,Left_7_20200326.MP4,42114,11.71,2768.801,34.589,172.428,4564.355,9.621,73.999,21.904,115.735,753.974,-4500.163,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,Left_7_20200326_1 and Left_8_20200326.MP4,1174,12.3651,6690.168,8645.322,146.673,3801.312,13.182,76.625,9.09,586.631,638.184,-3701.156,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,7,9,Control,Left_7_20200326_1 and Left_8_20200326.MP4,7452,14.1108,3575.843,45.886,204.034,5431.762,12.587,66.661,26.479,892.552,777.504,-5301.215,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,7,9,Control,Left_7_20200326_1 and Left_8_20200326.MP4,8921,14.5192,6487.444,8657.988,34.578,3686.236,12.252,73.981,3.626,716.635,313.65,-3602.276,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,8,10,Boat01,Left_7_20200326_1 and Left_8_20200326.MP4,41589,23.6027,660.271,5.511,166.409,4367.219,11.984,4.734,39.941,108.63,900.303,-4272.032,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Small,N,,M,S,N
March,3,8,10,Boat01,Left_8_20200326_1.MP4,26711,31.4778,0,16.245,54.135,3325.588,13.023,74.319,4.577,-541.481,518.077,-3240.051,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Shark 4,N,,H,D,N
March,3,8,10,Boat01,Left_8_20200326_1.MP4,29119,32.1474,1961.653,7986.301,83.337,1451.384,19.369,73.088,10.787,-393.48,277.274,-1369.237,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
