trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
3,15,Boat01 80-V,11.8354,Itchy,Passing,2078.386,D,H,N
3,15,Boat01 80-V,11.9283,Itchy,Passing,326.079,D,H,N
3,15,Boat01 80-V,12.1135,Itchy,Passing,2101.013,V,H,N
3,15,Boat01 80-V,12.6549,Itchy,Passing,5231.616,D,M,N
3,15,Boat01 80-V,13.2555,Itchy,Passing,497.692,S,M,N
3,15,Boat01 80-V,13.4846,Scratchy,Passing,2299.21,D,M,N
3,15,Boat01 80-V,16.4912,Itchy,Passing,2826.465,D,M,N
3,15,Boat01 80-V,16.6886,Itchy,Passing,1296.54,D,H,N
3,15,Boat01 80-V,17.042,Itchy,Passing,2888.06,D,H,N
3,15,Boat01 80-V,17.5904,Itchy,Passing,3498.196,D,H,N
3,15,Boat01 80-V,18.3736,Unknown,Passing,2621.552,D,M,N
3,15,Boat01 80-V,19.5487,Unknown,Passing,1636.705,D,M,N
3,15,Boat01 80-V,20.2085,Unknown,Passing,7915.732,S,M,N
3,15,Boat01 80-V,21.0213,Unknown,Passing,7651.937,D,M,N
3,16,Boat01 80-V,5.5066,Unknown,Passing,2022.599,D,M,N
3,16,Boat01 80-V,8.3058,Kachow,Passing,2526.012,S,H,Y
3,16,Boat01 80-V,9.4119,Kachow,Feeding,0,D,H,N
3,16,Boat01 80-V,10.2522,Itchy,Passing,1708.487,S,M,N
3,16,Boat01 80-V,10.3606,Kachow,Passing,6613.572,D,H,N
3,16,Boat01 80-V,12.8286,Unknown,Passing,923.649,D,M,N
3,16,Boat01 80-V,13.39,Unknown,Passing,5314.322,S,M,N
3,16,Boat01 80-V,16.1895,Itchy,Passing,2051.427,S,M,N
3,16,Boat01 80-V,16.1895,Itchy,Passing,3485.987,S,M,N
3,16,Boat01 80-V,16.8238,Itchy,Passing,4324.919,D,M,N
3,16,Boat01 80-V,17.379,Itchy,Passing,1087.762,D,M,N
3,16,Boat01 80-V,17.7466,Itchy,Passing,715.588,S,M,N
4,17,Boat01 80-V,3.7899,Shark 1,Passing,2176.948,D,M,N
4,17,Boat01 80-V,8.0136,Shark 1,Passing,2873.539,D,M,N
4,17,Boat01 80-V,8.4279,Shark 1,Passing,2378.213,S,M,N
4,18,Control,13.6887,Shark 2,Passing,888.754,V,M,N
4,18,Control,14.6755,Shark 2,Passing,3809.224,D,L,N
4,18,Control,14.864,Shark 2,Passing,4005.31,D,M,N
4,18,Control,14.9936,Shark 2,Passing,4927.029,D,M,N
4,18,Control,7.718,Shark 1,Passing,783.417,V,M,N
4,18,Control,8.1687,Shark 1,Passing,872.823,D,M,Y
4,18,Control,8.3914,Shark 1,Passing,1345.051,D,M,N
4,19,Boat01 80-V,13.08,Old Tag,Passing,1827.576,D,H,Y
4,19,Boat01 80-V,15.1924,Old Tag,Passing,3653.272,D,H,N
4,19,Boat01 80-V,9.8237,Old Tag,Passing,1996.726,D,H,N
4,19,Boat01 80-V,10.5205,Old Tag,Passing,1050.262,S,H,N
4,20,Control,21.7859,Old Tag,Passing,2924.233,D,M,N
4,20,Control,22.0684,Old Tag,Feeding,0,S,H,N
4,20,Control,23.2888,Old Tag,Passing,1973.531,D,H,N
4,20,Control,25.1977,Old Tag,Passing,5029.665,D,M,N
4,20,Control,25.4588,Old Tag,Passing,2422.236,S,H,N
4,20,Control,25.7471,Old Tag,Passing,3692.641,S,M,N
4,21,Boat01 80-V,54.7558,Old Tag,Passing,2904.82,S,M,N
4,21,Boat01 80-V,56.0465,Old Tag,Passing,5828.746,D,M,N
4,21,Boat01 80-V,59.2325,New Tagged,Passing,1708.41,D,H,N
4,21,Boat01 80-V,59.6443,New Tagged,Passing,3278.857,D,H,N
4,22,Boat01 80-V,68.5946,New Tagged,Passing,2675.162,D,M,N
4,22,Boat01 80-V,68.6964,New Tagged,Passing,940.236,D,H,Y
4,22,Boat01 80-V,68.9219,Unknown,Passing,4110.414,D,M,N
4,22,Boat01 80-V,69.4024,Unknown,Passing,4238.709,D,M,N
4,22,Boat01 80-V,69.7133,Unknown,Passing,3351.764,D,M,N
4,22,Boat01 80-V,70.2949,New Tagged,Passing,2683.464,D,M,N
4,22,Boat01 80-V,70.5722,New Tagged,Passing,2501.449,D,M,N
4,22,Boat01 80-V,71.1402,New Tagged,Passing,1974.483,D,H,Y
4,22,Boat01 80-V,72.3884,New Tagged,Passing,5367.852,D,M,N
4,22,Boat01 80-V,73.1011,New Tagged,Passing,5774.349,S,M,N
4,22,Boat01 80-V,77.9153,New Tagged,Passing,3657.953,D,M,N
4,23,Control,0.9387,New Tagged,Passing,461.61,D,M,N
