Month,trip,Original trial,trial,Deterrent,Time (mins),dist,Precision (mm),RMS (mm),Number,Activity,ID,Bait taken?,Comment,LOI,AT,react
April,4,18,33,Control,26.1951,3937.846,50.434,13.958,Bait,Passing,Old Tag,Y,,M,S,N
April,4,18,33,Control,26.4737,2138.796,37.049,7.767,Bait,Passing,Old Tag,Y,,M,S,N
April,4,18,33,Control,28.1309,5134.017,114.956,7.095,Bait,Passing,Colleen,Y,,M,D,N
April,4,18,33,Control,28.1309,5819.01,113.73,13.026,Bait,Passing,Colleen,Y,,M,D,N
April,4,18,33,Control,31.8343,0,50.952,20.132,Bait,Feeding,Old Tag,Y,,H,D,N
April,4,19,34,Boat01,1.6992,2814.267,50.827,2.997,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,3.0973,4750.485,102.763,3.88,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,4.3596,2495.744,58.155,13.929,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,4.9611,3693.197,18.784,27.063,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,5.7774,2002.098,50.417,2.434,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,6.3516,3806.644,87.308,2.475,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,6.5933,3545.868,64.113,4.406,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,6.9806,4770.429,119.229,4.419,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,7.7244,4002.663,114.254,15.687,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,8.0255,1977.389,14.334,7.524,Bait,Passing,Old Tag,N,,H,S,N
April,4,19,34,Boat01,8.3748,4526.791,67.291,3.902,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,9.185,7794.502,170.601,11.299,Bait,Passing,Old Tag,N,,L,S,N
April,4,19,34,Boat01,9.3229,2975.657,39.675,6.465,Bait,Passing,Old Tag,N,Reaction? Jaw spasm?,M,S,Y
April,4,19,34,Boat01,10.2786,1660.484,38.755,17.827,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,11.0469,1855.464,44.812,5.801,Bait,Passing,Old Tag,N,Reaction - Head SPasm,H,S,Y
April,4,19,34,Boat01,11.5018,3663.765,89.703,9.671,Bait,Passing,Old Tag,N,,H,S,N
April,4,19,34,Boat01,12.2236,4658.854,135.855,18.866,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,12.7828,3918.246,101.55,13.888,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,12.7828,5527.477,102.251,12.753,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,13.1014,3215.872,92.763,15.518,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,13.4331,5733.51,148.48,26.884,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,13.6064,4169.489,65.622,16.551,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,14.2515,4386.959,90.034,23.159,Bait,Passing,Colleen,N,Measurement from Dorsal,M,D,N
April,4,19,34,Boat01,14.4528,2398.294,63.77,7.93,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,15.6276,4078.073,90.1,14.873,Bait,Passing,Old Tag,N,,M,S,N
April,4,19,34,Boat01,15.7905,1890.381,56.168,5.811,Bait,Passing,Old Tag,N,,H,S,N
April,4,20,35,Control,31.9719,4403.531,108.608,18.252,Bait,Passing,Old Tag,N,,M,D,N
April,4,20,35,Control,33.0917,1230.938,13.359,5.103,Bait,Passing,Old Tag,N,Taken from Pectoral,H,S,N
April,4,20,35,Control,33.6141,2582.708,17.984,93.923,Bait,Passing,Old Tag,N,,M,S,N
April,4,21,36,Boat01,2.9349,3251.413,43.695,16.373,Bait,Passing,Marlin,Y,,M,S,N
April,4,21,36,Boat01,3.0697,1231.372,26.527,48.413,Bait,Passing,Marlin,Y,,M,S,N
April,4,21,36,Boat01,3.1885,0,29.852,33.145,Bait,Feeding,Marlin,Y,,H,S,N
April,4,21,36,Boat01,3.3344,3973.936,59.392,5.959,Bait,Passing,Old Tag,Y,,L,S,N
April,4,21,36,Boat01,3.575,2271.74,38.121,2.673,Bait,Passing,Marlin,Y,,M,S,N
April,4,21,36,Boat01,4.5445,0,38.083,13.978,Bait,Feeding,Marlin,Y,,H,D,N
April,4,22,37,Boat01,6.7,1780.942,12.833,9.603,Bait,Passing,Marlin,N,From Pectoral,M,S,N
April,4,22,37,Boat01,7.8117,1223.446,12.243,8.426,Bait,Passing,Marlin,N,,M,S,N
April,4,22,37,Boat01,8.5118,7315.447,152.023,34.774,Bait,Passing,Old Tag,N,,L,D,N
April,4,22,37,Boat01,9.1489,2361.957,62.531,29.494,Bait,Passing,Marlin,N,,M,S,N
April,4,22,37,Boat01,9.7306,3143.692,38.212,23.463,Bait,Passing,Marlin,N,Reaction - Quick Head Movement,H,S,Y
April,4,23,38,Control,20.5002,2968.82,60.783,9.955,Bait,Passing,Old Tag,Y,,M,D,N
April,4,23,38,Control,21.3983,3727.441,94.066,46.09,Bait,Passing,Old tag,Y,,M,D,N
April,4,23,38,Control,21.7818,0,37.106,10.417,Bait,Feeding,Old Tag,Y,Reaction - Full body spasm,H,S,Y
April,4,24,39,Control,2.1652,3322.495,60.455,3.409,Bait,Passing,Marlin,N,,M,D,N
April,4,24,39,Control,3.2925,2824.865,21.734,8.956,Bait,Passing,Marlin,N,Measuremnt taken from dorsal fin,M,V,N
April,4,24,39,Control,3.8497,1534.002,5.095,10.814,Bait,Passing,Marlin,N,,M,D,N
April,4,24,39,Control,4.8162,4737.355,8655.329,0.978,Bait,Passing,Marlin,N,Measured on the corner of mouth,M,D,N
April,4,24,39,Control,5.8428,1995.66,22.978,16.104,Bait,Passing,Old Tag,N,,M,D,N
April,4,25,40,Boat01,1.7595,1653.834,25.657,9.095,Bait,Passing,Unknown,Y,,M,D,N
April,4,25,40,Boat01,2.4441,2764.748,72.243,3.73,Bait,Passing,Marlin,Y,,M,D,N
April,4,25,40,Boat01,2.6176,0,39.513,6.196,Bait,Feeding,Marlin,Y,Touched bait line,H,D,N
April,4,25,40,Boat01,3.0339,5399.582,80.339,42.333,Bait,Passing,Marlin,Y,Odd movement - biting the surfac,L,S,N
April,4,25,40,Boat01,3.3133,0,32.763,31.162,Bait,Feeding,Marlin,Y,Touched electrode with pectorial,H,D,N
April,4,26,41,Boat01,7.032,2280.866,42.599,2.879,Bait,Passing,Marlin,Y,,M,D,N
April,4,26,41,Boat01,7.304,1738.577,17.944,10.381,Bait,Passing,Marlin,Y,,M,D,N
April,4,26,41,Boat01,7.6234,1871.371,28.28,53.126,Bait,Passing,Marlin,Y,,M,D,N
April,4,26,41,Boat01,8.6767,3495.702,78.947,5.326,Bait,Passing,Unknown,Y,,M,V,N
April,4,26,41,Boat01,9.2312,1866.713,21.775,14.679,Bait,Passing,Marlin,Y,,M,S,N
April,4,26,41,Boat01,9.9213,1269.482,35.014,9.918,Bait,Passing,Marlin,Y,,M,D,N
April,4,26,41,Boat01,10.1396,0,47.518,10.732,Bait,Feeding,Marlin,Y,tried to bite bait line,H,S,N
April,4,26,41,Boat01,10.3637,0,22.359,6.891,Bait,Feeding,Marlin,Y,Biting the bait float,H,S,N
April,4,27,42,Control,14.9591,2078.224,30.938,11.264,Bait,Passing,Marlin,Y,,M,D,N
April,4,27,42,Control,17.5951,0,3.797,2.513,Bait,Feeding,Marlin,Y,Touched electrode & bait line,H,D,N
April,4,27,42,Control,19.0696,2650.241,17.139,8.416,Bait,Passing,Old Tag,Y,,M,D,N
April,4,27,42,Control,19.6502,4200.325,90.46,4.603,Bait,Passing,Old Tag,Y,,M,D,N
April,4,27,42,Control,20.3984,5591.906,109.486,4.036,Bait,Passing,Old Tag,Y,,M,D,N
April,4,27,42,Control,22.4366,0,28.761,35.902,Bait,Feeding,Old Tag,Y,,H,V,N
April,4,30,43,Boat01,13.7245,11601.652,10000.258,336.601,Bait,Passing,Marlin,Y,11m ???,M,S,N
April,4,30,43,Boat01,13.8694,0,283.506,134.984,Bait,Feeding,Marlin,Y,,H,S,N
April,4,33,44,Boat01,41.4208,0,40.009,213.859,Bait,Feeding,Maeve,Y,,H,D,N
April,4,33,44,Boat01,41.7384,2171.235,34.283,261.896,Bait,Passing,Maeve,Y,,M,D,N
April,4,33,44,Boat01,42.002,2731.188,47.289,147.97,Bait,Passing,Maeve,Y,,M,D,N
April,4,33,44,Boat01,42.2514,2438.368,21.593,170.619,Bait,Passing,Maeve,Y,Measured from dorsal,M,D,N
April,4,33,44,Boat01,42.6084,9744.665,221.341,87.317,Bait,Passing,Maeve,Y,,M,D,N
April,4,33,44,Boat01,43.7312,1503.257,14.791,112.033,Bait,Passing,Maeve,Y,,H,D,N
April,4,33,44,Boat01,43.9461,1046.648,16.858,135.336,Bait,Passing,Maeve,Y,,M,D,N
April,4,33,44,Boat01,44.4892,0,4.544,13.149,Bait,Feeding,Maeve,Y,,H,S,N
April,4,35,45,Control,5.6504,0,133.419,281.348,Bait,Feeding,Maeve,Y,,H,S,N
April,4,38,46,Boat01,5.704,0,14.12,49.467,Bait,Feeding,Old Tag,N,,H,S,N
April,4,38,46,Boat01,6.1292,2411.22,43.366,229.832,Bait,Passing,Old Tag,N,,M,S,N
April,4,38,46,Boat01,12.022,7223.637,126.774,253.697,Bait,Passing,Old Tag,N,Cant Compute Bait,M,D,N
April,4,38,46,Boat01,12.8673,1137.303,21.534,180.558,Bait,Passing,Old Tag,N,,M,D,N
April,4,38,46,Boat01,14.5837,5995.529,175.685,255.695,Bait,Passing,Maeve,N,Taken from Dorsal,M,S,N
April,4,40,47,Control,7.3982,0,10.842,180.025,Bait,Feeding,Old Tag,Y,,H,D,N
April,4,41,48,Control,12.6318,1895.705,24.64,179.709,Bait,Passing,Old Tag,N,,M,S,N
April,4,41,48,Control,13.459,1811.001,28.47,151.775,Bait,Passing,Old Tag,N,,M,S,N
April,4,41,48,Control,17.1363,6029.805,191.194,251.437,Bait,Passing,Old Tag,N,,M,S,N
April,4,41,48,Control,18.5855,1519.579,22.477,181.519,Bait,Passing,Old Tag,N,,M,S,N
April,4,41,48,Control,20.4568,7820.023,326.85,297.597,Bait,Passing,Old Tag,N,,M,S,N
April,4,41,48,Control,21.333,7225.728,256.884,185.458,Bait,Passing,Unknown,N,,M,D,N
April,4,41,48,Control,22.1151,7026.129,10000.098,111.1,Bait,Passing,Unknown,N,,M,D,N
April,4,43,49,Control,15.1412,0,88.16,16.088,Bait,Feeding,New Tagged,Y,Took bait,H,D,N
April,4,44,50,Boat01,22.5928,1938.967,42.403,19.886,Bait,Passing,New Tagged,N,,M,D,N
April,4,44,50,Boat01,23.9336,1906.388,45.144,1.732,Bait,Passing,New Tagged,N,,M,D,N
April,4,44,50,Boat01,25.4988,3681.172,82.18,7.523,Bait,Passing,New Tagged,N,,M,D,N
April,4,45,51,Control,8.6158,1845.115,34.134,7.496,Bait,Passing,Scar Face,Y,,M,S,N
April,4,45,51,Control,11.2835,3197.027,45.256,42.461,Bait,Passing,Scar Face,Y,,M,D,N
April,4,45,51,Control,12.8823,0,15.095,74.674,Bait,Feeding,Scar Face,Y,,H,V,N
April,4,46,52,Boat01,12.4271,3572.883,77.67,26.937,Bait,Passing,Flat Top,N,,M,D,N
April,4,46,52,Boat01,17.5834,3365.884,113.581,5.001,Bait,Passing,Unknown,N,,M,D,N
April,4,46,52,Boat01,18.5355,1850.543,89.624,5.826,Bait,Passing,Clippy,N,,H,D,N
April,4,48,53,Control,4.6235,2978.428,55.171,25.925,Bait,Passing,New Tagged,Y,,M,D,N
April,4,48,53,Control,6.4056,1895.679,14.05,5.96,Bait,Passing,New Tagged,Y,,H,V,N
April,4,48,53,Control,8.345,0,36.834,10.611,Bait,Feeding,New Tagged,Y,,H,D,N
April,4,50,54,Control,3.1776,2777.138,8.539,20.983,Bait,Passing,Clippy,Y,,H,S,N
April,4,50,54,Control,3.3648,0,11.345,19.773,Bait,Feeding,Clippy,Y,,H,S,N
April,4,50,54,Control,3.5569,858.767,15.8,7.89,Bait,Passing,Clippy,Y,Taken from Pectoral,H,D,N
April,4,50,54,Control,4.1892,1564.575,12.434,5.488,Bait,Passing,Clippy,Y,,H,V,N
April,4,50,54,Control,5.5547,1641.986,20.582,2.444,Bait,Passing,Clippy,Y,,H,D,N
April,4,50,54,Control,8.2638,0,14.295,4.611,Bait,Feeding,Clippy,Y,,H,D,N
April,4,52,55,Control,7.6615,3665.035,41.961,14.452,Bait,Passing,Clippy,Y,,M,D,N
April,4,52,55,Control,8.9526,0,29.861,2.442,Bait,Feeding,Clippy,Y,,H,D,N
April,4,53,56,Boat01,12.0039,4254.847,103.031,39.215,Bait,Passing,Marlin,N,Taken from Dorsal,M,D,N
April,4,53,56,Boat01,12.1307,2162.853,17.365,95.675,Bait,Passing,Clippy,N,Taken from Tail,M,D,N
April,4,53,56,Boat01,13.5168,2887.694,81.514,7.022,Bait,Passing,Clippy,N,,M,D,N
April,4,53,56,Boat01,13.9487,1952.084,60.929,21.393,Bait,Passing,Marlin,N,,M,D,N
April,4,53,56,Boat01,15.6851,2392.046,24.101,14.835,Bait,Passing,Marlin,N,,M,D,N
April,4,53,56,Boat01,15.7972,733.165,9.128,11.961,Bait,Passing,Marlin,N,Reaction - Head spasm,H,D,Y
April,4,54,57,Control,17.5069,1573.379,17.821,9.321,Bait,Passing,Marlin,Y,Reaction - quick head spasm,H,D,Y
April,4,54,57,Control,17.8025,895.849,35.18,9.596,Bait,Passing,Marlin,Y,,H,D,N
April,4,54,57,Control,17.8025,0,45.625,4.355,Bait,Feeding,Marlin,Y,,H,D,N
April,4,55,58,Control,6.9322,3110.206,67.681,46.826,Bait,Passing,Staple,Y,,M,D,N
April,4,55,58,Control,7.4263,1889.714,56.258,13.978,Bait,Passing,Scar Face,Y,,M,D,N
April,4,55,58,Control,8.0475,0,30.708,27.053,Bait,Feeding,Staple,Y,,H,S,N
April,4,55,58,Control,8.5591,3373.011,76.894,60.508,Bait,Passing,Scar Face,Y,Taken from Pectoral,M,D,N
April,4,55,58,Control,8.6881,0,41.973,8.214,Bait,Feeding,Staple,Y,,H,V,N
April,4,56,59,Boat01,12.7436,3857.673,54.783,8.942,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,13.0489,2445.359,74.666,32.254,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,13.1395,1242.465,15.916,7.121,Bait,Passing,Staple,N,Reaction - Multiple quick head jerk,M,D,Y
April,4,56,59,Boat01,13.6606,2143.696,68.395,7.307,Bait,Passing,Staple,N,,H,D,N
April,4,56,59,Boat01,13.7918,2397.082,63.566,4.376,Bait,Passing,Staple,N,,H,D,N
April,4,56,59,Boat01,14.3796,4654.251,89.71,10.934,Bait,Passing,Staple,N,,M,S,N
April,4,56,59,Boat01,14.7589,3022.581,65.421,17.357,Bait,Passing,Staple,N,,M,S,N
April,4,56,59,Boat01,14.8938,2808.185,65.663,5.958,Bait,Passing,Staple,N,,M,S,N
April,4,56,59,Boat01,15.6579,3483.971,68.75,11.294,Bait,Passing,Unknown,N,,M,D,N
April,4,56,59,Boat01,16.0318,2240.678,54.24,14.312,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,16.6811,1024.972,25.058,3.854,Bait,Passing,Staple,N,Reaction - Body/head spasm,M,D,Y
April,4,56,59,Boat01,17.5517,1913.128,25.375,5.421,Bait,Passing,Staple,N,Reaction - Body/head spasm,H,D,Y
April,4,56,59,Boat01,17.5517,1899.364,39.299,227.33,Bait,Passing,Staple,N,Reaction - Body/head spasm,H,D,Y
April,4,56,59,Boat01,18.3695,2296.734,56.181,55.584,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,19.0526,1518.921,29.587,12.584,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,19.168,0,13.361,10.757,Bait,Feeding,Clippy,N,Reaction - Body Spasm,H,D,N
April,4,56,59,Boat01,20.226,4137.267,58.533,34.007,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,20.625,2618.941,74.697,8.168,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,21.1255,1250.501,34.888,39.949,Bait,Passing,Staple,N,Reaction - Whole Body Spasm,M,D,Y
April,4,56,59,Boat01,22.4761,3263.884,48.407,8.587,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,22.4811,3897.471,58.798,7.53,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,22.4811,4317.177,61.445,2.085,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,22.8998,3904.088,79.977,11.766,Bait,Passing,Clippy,N,,M,D,N
April,4,56,59,Boat01,23.1776,5186.714,77.517,12.344,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,23.5644,5104.258,97.17,8.781,Bait,Passing,Staple,N,Taken from Dorsal,M,D,N
April,4,56,59,Boat01,23.9245,5119.765,97.27,5.472,Bait,Passing,Clippy,N,,M,D,N
April,4,56,59,Boat01,24.0157,4920.818,106.923,23.247,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,24.1772,2357.544,64.842,17.094,Bait,Passing,Clippy,N,,H,D,N
April,4,56,59,Boat01,24.3393,2690.771,49.753,11.111,Bait,Passing,Clippy,N,,H,D,N
April,4,56,59,Boat01,24.6591,2445.348,32.334,6.163,Bait,Passing,Clippy,N,,H,D,N
April,4,56,59,Boat01,24.99,3979.51,43.467,8.141,Bait,Passing,Staple,N,From Dorsal,M,S,N
April,4,56,59,Boat01,25.216,1428.579,20.171,1.607,Bait,Passing,Staple,N,Reaction - Head Jerk,H,S,Y
April,4,56,59,Boat01,25.4082,1618.741,5.745,8.614,Bait,Passing,Staple,N,,H,S,N
April,4,56,59,Boat01,26.1731,2791.456,49.186,25.588,Bait,Passing,Staple,N,,M,D,N
April,4,56,59,Boat01,26.3224,2338.806,29.094,7.308,Bait,Passing,Staple,N,Reaction - Head Spasm,M,D,Y
April,4,56,59,Boat01,27.1569,5015.738,100.015,20.435,Bait,Passing,Staple,N,,M,D,N
April,4,57,60,Boat01,32.7341,2945.436,58.956,4.441,Bait,Passing,Staple,Y,,M,D,N
April,4,57,60,Boat01,33.4537,0,33.202,26.053,Bait,Feeding,Staple,Y,,H,S,N
April,4,57,60,Boat01,33.8369,0,80.705,6.751,Bait,Feeding,Staple,Y,,H,S,N
April,4,58,61,Control,38.0177,1675.367,12.474,12.92,Bait,Passing,Staple,Y,Taken from Pectoral,M,D,N
April,4,58,61,Control,38.5688,4342.631,25.837,73.629,Bait,Passing,Staple,Y,Taken from Dorsal,M,D,N
April,4,58,61,Control,40.1404,3688.456,98.34,11.874,Bait,Passing,Staple,Y,Taken from Pectoral,M,D,N
April,4,58,61,Control,42.6103,1274.588,15.301,7.663,Bait,Passing,Staple,Y,,M,D,N
April,4,58,61,Control,44.1552,2517.897,19.571,1.644,Bait,Passing,Staple,Y,,M,D,N
April,4,58,61,Control,45.0303,5353.766,7986.276,17.875,Bait,Passing,Staple,Y,,M,D,N
April,4,58,61,Control,45.7243,4105.388,106.948,11.357,Bait,Passing,Staple,Y,,M,D,N
April,4,58,61,Control,45.9301,2859.572,13.375,19.024,Bait,Passing,Staple,Y,,M,D,N
April,4,58,61,Control,46.854,2994.303,47.498,18.094,Bait,Passing,Staple,Y,,M,D,N
April,4,58,61,Control,49.5631,1228.272,13.72,0.865,Bait,Passing,Staple,Y,,H,V,N
April,4,58,61,Control,49.6607,2179.629,33.873,4.073,Bait,Passing,Staple,Y,,H,S,N
April,4,58,61,Control,49.9763,0,26.067,5.504,Bait,Feeding,Staple,Y,cant compute bait,H,V,N
April,4,59,62,Boat01,52.2494,2276.98,33.522,2.077,Bait,Passing,Staple,Y,,H,S,N
April,4,59,62,Boat01,52.4074,1155.193,8.29,7.753,Bait,Passing,Staple,Y,,H,S,N
April,4,59,62,Boat01,53.1798,5446.403,132.749,24.124,Bait,Passing,Unknown,Y,,M,D,N
April,4,59,62,Boat01,53.474,2037.455,49.988,5.151,Bait,Passing,Staple,Y,,M,D,N
April,4,59,62,Boat01,53.9645,2449.27,34.872,7.691,Bait,Passing,Staple,Y,From Dorsal,H,D,N
April,4,59,62,Boat01,56.361,4715.858,55.425,1.751,Bait,Passing,Unknown,Y,Taken from Tail,M,D,N
April,4,59,62,Boat01,56.4656,4981.407,103.908,9.295,Bait,Passing,Unknown,Y,Taken from Dorsal,M,D,N
April,4,59,62,Boat01,57.0278,2949.286,25.524,4.129,Bait,Passing,Staple,Y,,M,D,N
April,4,59,62,Boat01,57.2236,0,16.871,4.198,Bait,Feeding,Staple,Y,,H,S,N
April,4,60,63,Control,62.674,2015.358,16.581,1.107,Bait,Passing,Clippy,Y,Taken from Tail,M,D,N
April,4,60,63,Control,63.0135,0,,,Bait,Feeding,Clippy,Y,,H,S,N
April,4,61,64,Boat01,70.8258,6046.291,108.046,35.86,Bait,Passing,Unknown,N,,M,D,N
April,4,61,64,Boat01,71.168,2121.407,43.488,7.69,Bait,Passing,Staple,N,,M,D,N
April,4,61,64,Boat01,72.4785,3177.988,32.236,6.487,Bait,Passing,Staple,N,,M,D,N
