Month,trip,Original trial,trial,Deterrent,Time (mins),dist,Precision (mm),RMS (mm),Number,Activity,ID,Bait taken?,Comment,LOI,AT,react
March,3,10,12,Boat01,5.8887,2196.967,35.364,127.727,Bait,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,6.2073,0,7.72,108.461,Bait,Feeding,Itchy,N,,H,S,N
March,3,10,12,Boat01,6.271,4762.476,60.168,419.765,Bait,Passing,Bully,N,,H,D,N
March,3,10,12,Boat01,6.7334,927.752,15.989,107.057,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,7.0826,2474.706,40.945,109.895,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,8.9901,8822.096,10000.232,102.345,Bait,Passing,Bully,N,,L,D,N
March,3,10,12,Boat01,9.3126,5601.891,8905.189,31.678,Bait,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,9.9661,1832.701,33.977,153.596,Bait,Passing,Bully,N,,M,D,N
March,3,10,12,Boat01,10.2541,6067.236,80.572,279.369,Bait,Passing,Itchy,N,,L,S,N
March,3,10,12,Boat01,10.5002,579.209,30.977,58.975,Bait,Passing,Bully,N,,M,D,N
March,3,10,12,Boat01,10.657,489.976,5.739,126.461,Bait,Passing,Bully,N,,M,D,N
March,3,11,13,Control,4.9119,7683.915,123.733,96.421,Bait,Passing,Itchy,Y,,M,S,N
March,3,11,13,Control,4.9138,6227.414,94.661,446.514,Bait,Passing,Unknown,Y,,M,D,N
March,3,11,13,Control,5.1293,800.89,31.113,111.378,Bait,Passing,Unknown,Y,,H,D,N
March,3,11,13,Control,5.2675,0,96.321,352.38,Bait,Feeding,Unknown,Y,,H,D,N
March,3,11,13,Control,5.5455,503.887,26.036,16.254,Bait,Passing,Unknown,Y,,M,S,N
March,3,11,13,Control,5.768,1057.658,18.053,183.366,Bait,Passing,Itchy,Y,,M,S,N
March,3,11,13,Control,6.0071,0,45.366,104.594,Bait,Feeding,Unknown,Y,,H,D,N
March,3,13,14,Control,9.7881,2121.934,32.246,104.207,Bait,Passing,Itchy,N,Measured from pectoral fin,M,S,N
March,3,13,14,Control,9.9385,1037.524,14.623,83.084,Bait,Passing,Unknown,N,Measured from pectoral fin,M,D,N
March,3,13,14,Control,13.0241,1258.096,10.6,182.637,Bait,Passing,Unknown,N,Measured from back of dorsal,M,D,N
March,3,13,14,Control,14.0896,582.141,10.158,44.913,Bait,Passing,Unknown,N,,M,D,N
March,3,13,14,Control,14.1049,1733.447,18.449,108.395,Bait,Passing,Itchy,N,Measured from pectoral fin,M,S,N
March,3,13,14,Control,15.2605,6817.355,91.923,125.54,Bait,Passing,Unknown,N,,L,D,N
March,3,13,14,Control,15.8239,654.48,10.902,40.039,Bait,Passing,Unknown,N,,M,S,N
March,3,13,14,Control,16.2968,1044.82,10.37,98.07,Bait,Passing,Unknown,N,,M,S,N
March,3,13,14,Control,17.993,2287.474,24.82,55.321,Bait,Passing,Unknown,N,,M,D,N
March,3,13,14,Control,20.5033,2467.367,25.866,161.793,Bait,Passing,Unknown,N,Measured from pectoral fin,M,S,N
March,3,13,14,Control,21.6066,2066.273,74.612,259.243,Bait,Passing,Unknown,N,,M,S,N
March,3,14,15,Boat01,6.0416,2674.775,13.279,186.53,Bait,Passing,Itchy,N,,M,S,N
March,3,14,15,Boat01,6.516,1420.399,4.297,126.452,Bait,Passing,Itchy,N,,M,S,N
March,3,14,15,Boat01,10.5144,0,35.039,119.887,Bait,Feeding,Itchy,N,Bait couldn't be computed,H,S,N
March,3,14,15,Boat01,10.9999,630.559,18.79,111.886,Bait,Passing,Itchy,N,Taken from Pecotral to Bait Line,M,D,N
March,3,14,15,Boat01,11.4584,3132.9,24.975,48.003,Bait,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,11.8354,2078.386,34.773,60.049,Bait,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,11.9283,326.079,5.198,48.842,Bait,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,12.1135,2101.013,15.372,224.864,Bait,Passing,Itchy,N,,H,V,N
March,3,14,15,Boat01,12.6549,5231.616,10000.016,37.941,Bait,Passing,Itchy,N,,M,D,N
March,3,14,15,Boat01,13.2555,497.692,5.503,90.529,Bait,Passing,Itchy,N,,M,S,N
March,3,14,15,Boat01,13.4846,2299.21,26.178,72.336,Bait,Passing,Scratchy,N,Taken to Bait Line - cant compute,M,D,N
March,3,14,15,Boat01,16.4912,2826.465,10000.036,24.731,Bait,Passing,Itchy,N,,M,D,N
March,3,14,15,Boat01,16.6886,1296.54,36.635,78.599,Bait,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,17.042,2888.06,21.436,200.592,Bait,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,17.5904,3498.196,69.799,261.16,Bait,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,18.3736,2621.552,33.556,208.851,Bait,Passing,Unknown,N,,M,D,N
March,3,14,15,Boat01,19.5487,1636.705,27.027,150.529,Bait,Passing,Unknown,N,,M,D,N
March,3,14,15,Boat01,20.2085,7915.732,8972.524,42.267,Bait,Passing,Unknown,N,,M,S,N
March,3,14,15,Boat01,21.0213,7651.937,150.48,268.423,Bait,Passing,Unknown,N,,M,D,N
March,3,15,16,Boat01,5.5066,2022.599,21.242,238.125,Bait,Passing,Unknown,N,,M,D,N
