trip,trial,det,ID,dist,reaction
4,32,Control,Unknown,3,N
4,32,Control,Unknown,5,N
4,32,Control,Unknown,1,N
4,32,Control,New tagged,3.5,N
4,32,Control,New tagged,7,N
4,32,Control,New tagged,8,N
4,32,Control,New tagged,2.5,N
4,32,Control,New tagged,3,N
4,32,Control,New tagged,3,N
4,32,Control,New tagged,0.5,N
4,32,Control,Old tag,2,N
4,32,Control,Old tag,2,N
4,33,Boat01,Unknown,4,N
4,33,Boat01,Unknown,4,N
4,33,Boat01,Unknown,4,N
4,33,Boat01,Unknown,3,N
4,33,Boat01,Unknown,2,N
4,33,Boat01,Unknown,1,N
4,33,Boat01,Unknown,7,N
4,33,Boat01,Unknown,7,N
4,33,Boat01,Unknown,5,N
4,33,Boat01,Unknown,3,N
4,33,Boat01,Unknown,4,N
4,33,Boat01,Unknown,1,N
4,33,Boat01,Unknown,3,N
4,33,Boat01,Unknown,4,N
4,33,Boat01,Unknown,2,N
4,33,Boat01,Unknown,1.5,N
4,33,Boat01,Unknown,3.5,N
4,33,Boat01,Unknown,4,N
4,33,Boat01,Unknown,3.5,Y
4,33,Boat01,Unknown,6,N
4,33,Boat01,Unknown,3.5,N
4,33,Boat01,New tagged,10,N
4,33,Boat01,New tagged,10,N
4,33,Boat01,New tagged,3,N
4,34,Boat01,Unknown,4,N
4,34,Boat01,Unknown,3,N
4,34,Boat01,Unknown,4,N
4,34,Boat01,Unknown,3,N
4,34,Boat01,New tagged,3,N
4,34,Boat01,New tagged,4,N
4,35,Control,Maeve ,5,N
4,35,Control,Unknown,3,N
4,35,Control,Unknown,5,N
4,35,Control,Unknown,0.5,N
4,35,Control,Unknown,1,N
4,35,Control,Unknown,0,N
4,36,Control,Unknown,10,N
4,36,Control,Unknown,0.5,N
4,36,Control,Unknown,7,N
4,36,Control,New tagged,5,N
4,36,Control,New tagged,10,N
4,36,Control,New tagged,10,N
4,36,Control,New tagged,3,N
4,36,Control,New tagged,3,N
4,36,Control,New tagged,4,N
4,36,Control,New tagged,1.5,N
4,36,Control,New tagged,0.5,N
4,36,Control,New tagged,0,N
4,36,Control,Unknown,1,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,2,N
4,37,Boat01,Old tag,2.5,N
4,37,Boat01,Old tag,0,N
4,37,Boat01,Old tag,1,N
4,37,Boat01,Old tag,3,N
4,37,Boat01,Old tag,0,N
4,37,Boat01,Old tag,0.5,N
4,37,Boat01,Old tag,0.5,N
4,37,Boat01,Old tag,2.5,N
4,37,Boat01,Old tag,1.5,N
4,37,Boat01,Old tag,3,N
4,37,Boat01,Old tag,5,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,3,N
4,37,Boat01,Old tag,0.5,N
4,37,Boat01,Old tag,2,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,1,N
4,37,Boat01,Old tag,2,N
4,37,Boat01,Old tag,3,N
4,37,Boat01,Old tag,1,N
4,37,Boat01,Old tag,3,N
4,37,Boat01,Old tag,2.5,N
4,37,Boat01,Old tag,0.5,N
4,37,Boat01,Old tag,0.5,N
4,37,Boat01,Old tag,1,N
4,37,Boat01,Old tag,3,N
4,37,Boat01,Old tag,2,N
4,37,Boat01,Old tag,4.5,N
4,37,Boat01,Old tag,0.5,N
4,37,Boat01,Old tag,1,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,4,N
4,37,Boat01,Old tag,0.5,N
4,38,Boat01,Marlin,0,N
4,38,Boat01,Marlin,,N
4,38,Boat01,Marlin,0,N
4,39,Control,Old tag,5,Y
4,39,Control,Old tag,2,N
4,39,Control,Old tag,5,N
4,39,Control,Old tag,5,N
4,39,Control,Old tag,3,N
4,39,Control,Old tag,1,N
4,39,Control,Old tag,5,N
4,39,Control,Old tag,2.5,N
4,39,Control,Unknown,10,N
4,39,Control,Unknown,3.5,N
4,40,Boat01,Old tag,4,N
4,40,Boat01,Old tag,2,N
4,40,Boat01,Old tag,2,N
4,40,Boat01,Old tag,1,N
4,40,Boat01,Old tag,2,Y
4,40,Boat01,Old tag,2.5,N
4,40,Boat01,Old tag,1,Y
4,40,Boat01,Old tag,2,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,4,N
4,40,Boat01,Old tag,1,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,2.5,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,2.5,N
4,40,Boat01,Old tag,4.5,N
4,40,Boat01,Old tag,4,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,1.5,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,1.5,Y
4,40,Boat01,Old tag,3,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,3,N
4,40,Boat01,Old tag,3,N
4,40,Boat01,Old tag,3,N
4,40,Boat01,Old tag,3.5,N
4,40,Boat01,Old tag,2.5,N
4,40,Boat01,Unknown,4,N
4,40,Boat01,Unknown,4,N
4,40,Boat01,Unknown,3,N
4,41,Control,Old tag,0,N
4,41,Control,Old tag,0.5,N
4,41,Control,Old tag,4,N
4,41,Control,Old tag,3.5,N
4,41,Control,Old tag,0,N
4,42,Boat01,Marlin,2,N
4,42,Boat01,Marlin,1,N
4,42,Boat01,Marlin,0,N
4,42,Boat01,Marlin,1,N
4,42,Boat01,Marlin,3,N
4,42,Boat01,Marlin,0,N
4,42,Boat01,Old tag,2,N
4,42,Boat01,Old tag,8,N
4,42,Boat01,Old tag,4,N
4,42,Boat01,Old tag,10,N
4,43,Boat01,Marlin,2,N
4,43,Boat01,Marlin,2,N
4,43,Boat01,Marlin,0.5,N
4,43,Boat01,Marlin,0.5,N
4,43,Boat01,Marlin,0.5,N
4,43,Boat01,Marlin,0,N
4,43,Boat01,Marlin,0.5,N
4,43,Boat01,Marlin,0.5,Y
4,43,Boat01,Marlin,0,N
4,43,Boat01,Old tag,8,N
4,43,Boat01,Old tag,4,N
4,43,Boat01,Old tag,0.5,N
4,44,Control,Marlin,6,N
4,44,Control,Old tag,3.5,N
4,44,Control,Old tag,4,N
4,44,Control,Old tag,3.5,N
4,44,Control,Old tag,0,N
4,44,Control,Old tag,3,N
4,44,Control,Old tag,1,Y
4,44,Control,Old tag,0.5,N
4,44,Control,Old tag,0.5,N
4,44,Control,Old tag,0,N
4,45,Control,Marlin,5,N
4,45,Control,Marlin,2,N
4,45,Control,Marlin,0,N
4,45,Control,Marlin,0.5,N
4,45,Control,Marlin,3,N
4,45,Control,Marlin,0.5,N
4,45,Control,Marlin,0.5,N
4,45,Control,Marlin,0,N
4,45,Control,Marlin,4,N
4,45,Control,Old tag,5,N
4,45,Control,Old tag,2,N
4,45,Control,Old tag,4,N
4,46,Boat01,Marlin,4,N
4,46,Boat01,Marlin,0.5,N
4,46,Boat01,Marlin,1,N
4,46,Boat01,Marlin,4,N
4,46,Boat01,Marlin,0,N
4,46,Boat01,Marlin,0.5,Y
4,46,Boat01,Marlin,0,N
4,46,Boat01,Old tag,4,N
4,47,Boat01,Marlin,8,N
4,47,Boat01,Marlin,8,N
4,47,Boat01,Marlin,1,N
4,47,Boat01,Marlin,0.5,N
4,47,Boat01,Marlin,0.5,Y
4,47,Boat01,Marlin,2.5,N
4,47,Boat01,Marlin,1,N
4,47,Boat01,Marlin,1,N
4,47,Boat01,Marlin,1,N
4,47,Boat01,Marlin,0.5,N
4,47,Boat01,Marlin,0,N
4,47,Boat01,Marlin,0,N
4,47,Boat01,Old tag,10,N
4,48,Control,Marlin,2,N
4,48,Control,Marlin,0.5,N
4,48,Control,Marlin,10,N
4,48,Control,Marlin,3,N
4,48,Control,Marlin,0,N
4,48,Control,Old tag,3,N
4,48,Control,Old tag,3.5,N
4,48,Control,Old tag,2.5,Y
4,48,Control,Old tag,3,N
4,48,Control,Old tag,8,N
4,48,Control,Old tag,7,N
4,48,Control,Old tag,3,N
4,48,Control,Old tag,2,N
4,48,Control,Unknown,10,N
4,49,Boat01,Old tag,1.5,N
4,49,Boat01,Old tag,1.5,Y
4,49,Boat01,Old tag,1,N
4,49,Boat01,Old tag,0,N
4,50,Boat01,Marlin,,N
4,50,Boat01,Marlin,4,N
4,50,Boat01,Marlin,1,Y
4,50,Boat01,Marlin,0,N
4,51,Control,Marlin,5,N
4,51,Control,Marlin,2,N
4,51,Control,Marlin,1,N
4,51,Control,New tagged,2.5,N
4,51,Control,New tagged,5,N
4,51,Control,New tagged,3.5,N
4,51,Control,New tagged,3,N
4,51,Control,New tagged,3.5,N
4,51,Control,New tagged,4,N
4,51,Control,New tagged,5,N
4,51,Control,New tagged,3.5,N
4,51,Control,New tagged,0.5,N
4,51,Control,New tagged,0.5,N
4,51,Control,New tagged,0,N
4,52,Boat01,Marlin,2.5,N
4,52,Boat01,Old tag,6,N
4,52,Boat01,Old tag,4,N
4,52,Boat01,Old tag,1,N
4,52,Boat01,Old tag,2,Y
4,52,Boat01,Old tag,1,Y
4,52,Boat01,Old tag,2.5,N
4,52,Boat01,Old tag,4,N
4,52,Boat01,Old tag,2,Y
4,52,Boat01,Old tag,1.5,N
4,52,Boat01,Old tag,0.5,N
4,53,Boat01,Maeve,0,N
4,53,Boat01,Maeve,3,N
4,53,Boat01,Maeve,2,N
4,53,Boat01,Maeve,2,N
4,53,Boat01,Maeve,3,Y
4,53,Boat01,Maeve,7,N
4,53,Boat01,Maeve,0,N
4,54,Control,Maeve,0,N
4,54,Control,Maeve,2,N
4,54,Control,Maeve,8,N
4,54,Control,Maeve,1,N
4,54,Control,Maeve,0,N
4,55,Control,Maeve,2,N
4,55,Control,Maeve,1,N
4,55,Control,Maeve,10,N
4,55,Control,Maeve,0,N
4,55,Control,Maeve,0,N
4,55,Control,Old tag,0.5,N
4,55,Control,Old tag,3,N
4,55,Control,Old tag,3.5,N
4,56,Boat01,Maeve,0,N
4,56,Boat01,Maeve,1,N
4,56,Boat01,Maeve,1,N
4,56,Boat01,Maeve,0,N
4,57,Control,Marlin,2,N
4,57,Control,Marlin,4,N
4,57,Control,Marlin,10,N
4,57,Control,Marlin,0,N
4,57,Control,Marlin,2,N
4,57,Control,Old tag,2,N
4,57,Boat01,Maeve,5,N
4,57,Boat01,Maeve,8,N
4,57,Boat01,Maeve,2,N
4,57,Boat01,Old tag,0.5,N
4,57,Boat01,Old tag,1,N
4,57,Boat01,Old tag,8,N
4,57,Boat01,Old tag,8,N
4,57,Boat01,Old tag,3,N
4,57,Boat01,Old tag,2.5,Y
4,57,Boat01,Old tag,3.5,N
4,58,Boat01,Old tag,5,N
4,58,Boat01,Old tag,3,N
4,58,Boat01,Old tag,3.5,N
4,58,Boat01,Old tag,3.5,N
4,58,Boat01,Old tag,1.5,Y
4,58,Boat01,Old tag,2,N
4,58,Boat01,Old tag,3,N
4,58,Boat01,Old tag,2,N
4,58,Boat01,Old tag,2.5,N
4,58,Boat01,Old tag,2,N
4,58,Boat01,Old tag,1,N
4,58,Boat01,Old tag,1,Y
4,58,Boat01,Old tag,4,N
4,58,Boat01,Old tag,1.5,N
4,58,Boat01,Old tag,1.5,N
4,58,Boat01,Old tag,0.5,N
4,58,Boat01,Old tag,2.5,N
4,58,Boat01,Old tag,0.5,N
4,58,Boat01,Old tag,3.5,N
4,58,Boat01,Old tag,0,Y
4,58,Boat01,Old tag,5,Y
4,58,Boat01,Old tag,5,N
4,58,Boat01,Old tag,1,N
4,58,Boat01,Old tag,2.5,N
4,58,Boat01,Old tag,4,N
4,58,Boat01,Old tag,3,N
4,58,Boat01,Old tag,2,N
4,58,Boat01,Old tag,1.5,N
4,58,Boat01,Old tag,4,Y
4,58,Boat01,Old tag,1,N
4,58,Boat01,Old tag,5,N
4,58,Boat01,Old tag,2.5,Y
4,58,Boat01,Unknown,2,N
4,58,Boat01,Unknown,4,N
4,59,Control,New tagged,8,N
4,59,Control,New tagged,10,N
4,59,Control,New tagged,1,N
4,59,Control,New tagged,10,N
4,59,Control,New tagged,1,N
4,59,Control,New tagged,0.5,N
4,59,Control,New tagged,1.5,N
4,59,Control,New tagged,1,N
4,59,Control,New tagged,4.5,N
4,59,Control,New tagged,5,N
4,59,Control,New tagged,0,N
4,59,Control,Old tag,3.5,N
4,59,Control,Old tag,0,N
4,60,Control,Old tag,0,N
4,61,Control,Old tag,2,N
4,61,Control,Old tag,1,Y
4,61,Control,Old tag,4,N
4,61,Control,Old tag,0,N
4,61,Control,Old tag,0.5,Y
4,61,Control,Old tag,1,N
4,61,Control,Old tag,3,N
4,61,Control,Old tag,3,N
4,61,Control,Old tag,1,N
4,61,Control,Old tag,1,Y
4,61,Control,Old tag,3,N
4,61,Control,Old tag,4,N
4,61,Control,Old tag,4,N
4,61,Control,Old tag,3,N
4,61,Control,Old tag,4,N
4,61,Control,Unknown,10,N
4,61,Control,Unknown,6,N
4,62,Boat01,Flat top,0,N
4,62,Boat01,New tagged,4,N
4,62,Boat01,New tagged,2,Y
4,62,Boat01,New tagged,1,Y
4,62,Boat01,New tagged,0.5,N
4,62,Boat01,New tagged,3,N
4,62,Boat01,New tagged,4,N
4,62,Boat01,New tagged,6,N
4,62,Boat01,New tagged,2,N
4,62,Boat01,New tagged,2,N
4,62,Boat01,New tagged,3,N
4,62,Boat01,New tagged,5,N
4,62,Boat01,New tagged,3.5,N
4,62,Boat01,New tagged,5,N
4,62,Boat01,New tagged,5,N
4,63,Control,New tagged,5,N
4,63,Control,New tagged,10,N
4,63,Control,New tagged,2,N
4,63,Control,New tagged,4,N
4,63,Control,New tagged,10,N
4,63,Control,New tagged,2,N
4,63,Control,New tagged,0,N
4,63,Control,Unknown,1,N
4,63,Control,Unknown,1,N
4,64,Boat01,New tagged,5,N
4,64,Boat01,New tagged,1,N
4,64,Boat01,New tagged,4,N
4,64,Boat01,New tagged,3,N
4,64,Boat01,New tagged,3,N
4,64,Boat01,New tagged,2,N
